age_group,gender,distance,stroke,sort_order,course,tags_time,bonus_time
13-14,girls,50,fr,1,lcm,28.99,29.49
13-14,girls,100,fr,1,lcm,61.89,62.39
13-14,girls,200,fr,1,lcm,134.09,134.59
13-14,girls,400,fr,1,lcm,282.19,283.39
13-14,girls,800,fr,1,lcm,586.79,589.99
13-14,girls,1500,fr,1,lcm,1122.79,1127.49
13-14,girls,100,bk,2,lcm,71.39,72.39
13-14,girls,200,bk,2,lcm,152.59,155.69
13-14,girls,100,br,3,lcm,81.39,81.99
13-14,girls,200,br,3,lcm,174.79,177.19
13-14,girls,100,fl,4,lcm,68.49,69.29
13-14,girls,200,fl,4,lcm,154.99,157.99
13-14,girls,200,im,5,lcm,153.19,154.39
13-14,girls,400,im,5,lcm,323.89,326.39
13-14,girls,200,fr_r,6,lcm,116.99,
13-14,girls,400,fr_r,6,lcm,253.59,
13-14,girls,800,fr_r,6,lcm,552.69,
13-14,girls,200,mr,7,lcm,130.69,
13-14,girls,400,mr,7,lcm,284.29,
11-12,girls,50,fr,1,lcm,30.29,30.79
11-12,girls,100,fr,1,lcm,65.79,66.79
11-12,girls,200,fr,1,lcm,142.99,143.49
11-12,girls,400,fr,1,lcm,301.39,303.39
11-12,girls,50,bk,2,lcm,35.69,36.09
11-12,girls,100,bk,2,lcm,75.69,76.69
11-12,girls,200,bk,2,lcm,163.09,164.09
11-12,girls,50,br,3,lcm,40.29,40.79
11-12,girls,100,br,3,lcm,87.19,88.19
11-12,girls,200,br,3,lcm,187.19,188.29
11-12,girls,50,fl,4,lcm,32.79,33.29
11-12,girls,100,fl,4,lcm,73.49,74.49
11-12,girls,200,fl,4,lcm,170.29,171.89
11-12,girls,200,im,5,lcm,162.49,163.99
11-12,girls,200,fr_r,6,lcm,122.89,
11-12,girls,400,fr_r,6,lcm,267.69,
11-12,girls,200,mr,7,lcm,137.49,
11-12,girls,400,mr,7,lcm,302.29,
10&under,girls,50,fr,1,lcm,33.49,33.99
10&under,girls,100,fr,1,lcm,73.29,74.79
10&under,girls,200,fr,1,lcm,159.29,162.39
10&under,girls,400,fr,1,lcm,340.59,343.89
10&under,girls,50,bk,2,lcm,40.39,40.89
10&under,girls,100,bk,2,lcm,85.49,86.79
10&under,girls,50,br,3,lcm,46.09,46.59
10&under,girls,100,br,3,lcm,99.39,101.09
10&under,girls,50,fl,4,lcm,37.29,38.19
10&under,girls,100,fl,4,lcm,87.09,89.49
10&under,girls,200,im,5,lcm,180.79,184.89
10&under,girls,200,fr_r,6,lcm,139.59,
10&under,girls,400,fr_r,6,lcm,310.79,
10&under,girls,200,mr,7,lcm,159.49,
10&under,boys,50,fr,1,lcm,33.69,34.19
10&under,boys,100,fr,1,lcm,74.59,74.99
10&under,boys,200,fr,1,lcm,160.99,164.49
10&under,boys,400,fr,1,lcm,341.59,347.99
10&under,boys,50,bk,2,lcm,39.99,40.49
10&under,boys,100,bk,2,lcm,84.99,86.59
10&under,boys,50,br,3,lcm,46.89,47.39
10&under,boys,100,br,3,lcm,100.49,101.49
10&under,boys,50,fl,4,lcm,37.39,37.89
10&under,boys,100,fl,4,lcm,86.69,89.19
10&under,boys,200,im,5,lcm,181.89,185.79
10&under,boys,200,fr_r,6,lcm,139.79,
10&under,boys,400,fr_r,6,lcm,313.99,
10&under,boys,200,mr,7,lcm,161.09,
11-12,boys,50,fr,1,lcm,29.39,29.89
11-12,boys,100,fr,1,lcm,64.29,65.29
11-12,boys,200,fr,1,lcm,139.29,140.09
11-12,boys,400,fr,1,lcm,295.99,298.49
11-12,boys,50,bk,2,lcm,35.29,35.79
11-12,boys,100,bk,2,lcm,75.09,76.09
11-12,boys,200,bk,2,lcm,160.19,162.99
11-12,boys,50,br,3,lcm,39.19,39.69
11-12,boys,100,br,3,lcm,84.59,85.39
11-12,boys,200,br,3,lcm,183.39,184.39
11-12,boys,50,fl,4,lcm,32.49,32.99
11-12,boys,100,fl,4,lcm,71.99,72.99
11-12,boys,200,fl,4,lcm,171.69,172.99
11-12,boys,200,im,5,lcm,157.69,158.99
11-12,boys,200,fr_r,6,lcm,121.29,
11-12,boys,400,fr_r,6,lcm,268.69,
11-12,boys,200,mr,7,lcm,137.39,
11-12,boys,400,mr,7,lcm,302.99,
13-14,boys,50,fr,1,lcm,26.99,27.49
13-14,boys,100,fr,1,lcm,57.69,57.99
13-14,boys,200,fr,1,lcm,124.99,125.49
13-14,boys,400,fr,1,lcm,267.09,269.39
13-14,boys,800,fr,1,lcm,556.29,565.39
13-14,boys,1500,fr,1,lcm,1077.29,1083.09
13-14,boys,100,bk,2,lcm,66.69,67.49
13-14,boys,200,bk,2,lcm,142.59,144.79
13-14,boys,100,br,3,lcm,74.39,75.09
13-14,boys,200,br,3,lcm,161.09,162.59
13-14,boys,100,fl,4,lcm,63.29,63.79
13-14,boys,200,fl,4,lcm,142.09,144.29
13-14,boys,200,im,5,lcm,140.69,142.29
13-14,boys,400,im,5,lcm,304.69,307.39
13-14,boys,200,fr_r,6,lcm,109.49,
13-14,boys,400,fr_r,6,lcm,237.69,
13-14,boys,800,fr_r,6,lcm,523.49,
13-14,boys,200,mr,7,lcm,121.99,
13-14,boys,400,mr,7,lcm,265.79,
