Event,AAAA,AAA,AA,A,BB,B
50 FR,24.99,26.19,27.39,28.59,30.89,33.29
100 FR,54.39,56.99,59.59,1:02.09,1:07.29,1:12.49
200 FR,1:58.29,2:03.89,2:09.59,2:15.19,2:26.49,2:37.69
500 FR,5:15.49,5:30.49,5:45.49,6:00.49,6:30.59,7:00.59
50 BK,32.59,34.39,35.99,37.99,43.09,48.49
100 BK,1:10.59,1:14.49,1:18.39,1:22.29,1:32.89,1:44.09
200 BK,2:22.29,2:29.09,2:36.09,2:43.49,2:57.39,3:11.79
50 BR,34.09,35.79,37.69,39.49,43.19,46.89
100 BR,1:14.39,1:18.09,1:21.79,1:25.49,1:32.59,1:40.29
200 BR,2:41.49,2:49.19,2:56.89,3:04.59,3:18.89,3:34.19
50 FL,29.19,30.59,32.09,33.69,36.89,40.09
100 FL,1:05.39,1:08.99,1:12.59,1:16.29,1:22.99,1:30.49
100 IM,1:06.49,1:09.69,1:12.79,1:15.99,1:21.69,1:28.09
200 IM,2:24.59,2:31.49,2:38.49,2:45.19,2:58.19,3:12.69
400 IM,5:10.09,5:24.89,5:39.59,5:54.39,6:23.89,6:53.39
