age_type,age,distance,stroke,event_type,gender,aaaa,aaa,aa,a,bb,b
36.79 *34.19 *31.59 *30.19 *28.89 *27.59 *50 FR SCM
1:20.09 *1:14.39 *1:08.69 *1:05.79 *1:02.89 *1:00.09 *100 FR SCM
2:54.29 *2:41.79 *2:29.39 *2:23.19 *2:16.99 *2:10.69 *200 FR SCM
6:07.99 *5:41.69 *5:15.49 *5:02.29 *4:49.19 *4:35.99 *400 FR SCM
12:46.39 *11:51.59 *10:56.89 *10:29.49 *10:02.19 *9:34.79 *800 FR SCM
24:07.99 *22:24.59 *20:41.19 *19:49.49 *18:57.79 *18:05.99 *1500 FR SCM
1:27.59 *1:21.39 *1:15.09 *1:11.99 *1:08.79 *1:05.69 *100 BK SCM
3:08.89 *2:55.39 *2:41.89 *2:35.19 *2:28.39 *2:21.69 *200 BK SCM
1:40.49 *1:33.29 *1:26.19 *1:22.59 *1:18.99 *1:15.39 *100 BR SCM
3:36.49 *3:21.09 *3:05.59 *2:57.89 *2:50.09 *2:42.39 *200 BR SCM
1:27.19 *1:20.99 *1:14.69 1:11.59 1:08.49 1:05.39 *100 FL SCM
3:14.79 *3:00.89 *2:46.99 *2:39.99 *2:33.09 *2:26.09 *200 FL SCM
3:15.19 *3:01.29 *2:47.29 *2:40.39 2:33.39 *2:26.39 *200 IM SCM
6:53.39 *6:23.89 *5:54.39 *5:39.59 *5:24.89 *5:10.09 *400 IM SCM
